@relation gps_data_extended_classes

@attribute obsID numeric
@attribute birdID numeric
@attribute day numeric
@attribute min numeric
@attribute speed numeric
@attribute area numeric
@attribute movement_time numeric
@attribute movement_ratio numeric
@attribute distance numeric
@attribute c3 numeric
@attribute c8 numeric
@attribute c16 numeric

@data
912,166,185,994,0.546717,54.420166,6.436894,0.500355,25.7293,2,2,2
914,166,185,995,0.345832,33.543531,6.279032,0.722895,17.371911,1,3,6
919,166,185,996,0.178326,30.460439,1.802276,0.248358,21.77032,2,2,2
902,166,185,991,0.082462,2729.183282,4.325836,0.71546,157.201956,2,2,2
921,166,185,997,0.275318,34.364221,3.288705,0.211213,31.141117,2,2,2
922,166,185,998,0.064031,36.80247,9.373071,0.663009,42.411507,2,2,2
923,166,185,998,0.303809,22.988405,4.675193,0.323611,43.340838,2,2,2
924,166,185,998,0.014142,34.361785,6.948321,0.318194,43.673511,2,2,2
925,166,185,999,0.39,53.291001,14.40138,0.324911,44.324076,2,2,2
931,166,185,1000,0.309031,19.811692,5.250236,0.667882,15.722045,2,2,2
935,166,185,1002,0.333916,55.754804,7.126637,0.546414,26.085109,2,2,2
936,166,185,1002,0.33121,67.033287,6.72532,0.464975,28.927684,2,2,2
938,166,185,1002,0.330757,41.185194,10.25285,0.353251,29.024279,2,2,2
945,166,185,1004,0.20664,22.173148,5.274876,0.476486,22.140725,2,2,2
946,166,185,1004,0.159374,24.282172,10.66992,0.467628,22.8171,2,2,2
947,166,185,1005,0.080623,37.608422,6.772557,0.513195,26.393722,2,2,2
948,166,185,1005,0.568067,32.980836,3.722788,0.297457,25.030752,2,2,2
907,166,185,993,0.170294,23.948106,6.060057,0.546432,22.180472,2,2,2
1180,166,186,995,1.239718,11.279979,9.837318,0.359358,54.74938,1,5,7
1189,166,186,998,0.422374,3.344834,1.826127,0.057592,31.707958,1,1,1
1195,166,186,999,0.243721,8.281458,6.477136,0.510719,25.364773,1,1,1
1196,166,186,999,0.307571,8.108072,1.623652,0.045679,35.545057,1,1,1
1198,166,186,1000,0.127279,4.910502,0.655348,0.048905,26.80072,1,1,1
1181,166,186,995,0.046904,8.566751,0.516715,0.021928,47.128421,1,1,1
1199,166,186,1000,0.100499,4.910502,2.066066,0.14036,29.439565,1,1,1
1182,166,186,996,0.214009,16.516906,3.463472,0.204556,50.795066,1,1,1
1211,166,186,1003,0.072801,2.094549,2.040732,0.166784,12.235806,1,5,7
1183,166,186,996,0.394208,17.425848,0.657259,0.031505,41.724743,1,1,1
1224,166,186,1007,0.08775,5.876419,1.480351,0.233081,12.702473,1,5,7
1225,166,186,1007,0.104881,10.680049,2.824016,0.367439,15.371364,1,5,7
1226,166,186,1007,0.538145,22.110158,8.978654,0.472474,19.003487,2,2,2
1227,166,186,1008,0.14,34.226625,6.425282,0.562495,22.845631,1,1,1
1184,166,186,996,0.478435,16.818186,2.889205,0.155217,37.228013,1,1,1
1185,166,186,997,0.053852,16.818186,7.414787,0.208396,35.580286,1,1,1
1186,166,186,997,0.156525,9.352436,4.032252,0.223165,36.136902,1,1,1
1865,166,189,774,0.486724,274.804363,28.46194,0.879831,64.698642,2,2,2
1869,166,189,775,0.260192,67.698088,11.02733,0.712472,30.955115,2,2,2
1870,166,189,775,0.024495,29.054072,6.321107,0.73038,17.3091,2,2,2
1871,166,189,775,0.392301,34.656388,17.25546,0.833558,20.700986,2,2,2
1872,166,189,776,0.18412,53.557061,20.2473,0.859539,23.555998,2,2,2
1877,166,189,777,0.147309,15.675339,4.359359,0.469037,18.588565,1,3,4
1878,166,189,777,0.372022,12.068716,2.716837,0.339421,16.008638,1,3,6
1881,166,189,778,0.190526,2.621572,0.821098,0.156988,10.460663,2,2,2
1882,166,189,778,0.377624,2.89602,0.992518,0.196414,10.106383,2,2,2
1840,166,189,767,0.547083,121.42656,9.088519,0.172634,52.646264,2,4,11
1842,166,189,767,0.05,46.737558,10.03152,0.81316,24.672936,1,5,7
1843,166,189,767,0.129615,6.612865,18.23806,0.902798,20.201706,1,5,7
1844,166,189,768,0.03,0.168651,0.553982,0.261699,2.116869,1,5,7
2133,166,190,854,0.407185,6.789345,1.660008,0.179375,18.50881,2,2,2
2134,166,190,854,0.033166,5.085662,1.412232,0.081724,17.280566,1,4,5
2135,166,190,855,0.022361,13.621814,4.599131,0.232915,19.74598,1,3,4
2140,166,190,856,0.278029,29.015157,5.785274,0.730012,15.849802,2,2,2
2144,166,190,857,0.072801,14.550095,2.239897,0.277394,16.149571,2,2,2
2145,166,190,858,0.186815,12.576026,1.727335,0.201414,17.152081,2,2,2
2146,166,190,858,0.412432,19.334269,3.561723,0.340372,20.928421,1,3,6
2148,166,190,858,0.041231,37.217499,12.21654,0.582717,20.964809,2,2,2
2150,166,190,859,0.498297,35.453521,4.875636,0.547082,17.824142,2,4,8
2125,166,190,852,0.433705,114.382642,5.122897,0.934187,65.805646,2,2,2
2156,166,190,861,0.115758,46.475164,11.67274,0.558264,20.909011,2,2,2
2157,166,190,861,0.163095,52.884151,6.814813,0.646758,21.073769,2,2,2
2158,166,190,861,0.239583,55.23808,5.830268,0.526786,22.135232,2,2,2
2159,166,190,861,0.46669,59.508156,12.4349,0.487347,25.515477,2,2,2
2160,166,190,862,0.457165,33.958635,10.33562,0.49396,20.923992,2,2,2
2161,166,190,862,0.145945,27.897286,3.4183,0.299371,22.836527,1,3,6
2162,166,190,862,0.580086,10.525255,2.3934,0.329009,14.549143,2,2,2
2166,166,190,863,0.106301,15.778604,5.557894,0.541662,20.521632,2,2,2
2170,166,190,865,0.116619,15.028149,12.56306,0.77601,16.189306,2,2,9
2590,166,192,924,0.05,84.49276,21.11297,0.744079,28.374622,2,2,2
2591,166,192,924,0.498096,74.39798,7.46857,0.645199,23.151197,2,2,2
2592,166,192,924,0.278209,64.103416,6.571632,0.605603,21.702786,2,2,2
2593,166,192,924,0.269258,54.145371,17.65442,0.831931,21.221021,2,2,2
2595,166,192,925,0.330151,29.459691,9.488348,0.904307,20.984787,2,2,2
2596,166,192,925,0.540925,41.928401,8.663879,0.858999,20.172028,2,2,2
2597,166,192,925,0.243516,39.042303,7.190905,0.74313,19.353012,2,2,2
2598,166,192,926,0.163095,39.216912,7.72295,0.755323,20.449399,2,2,2
2582,166,192,921,0.450333,882.755506,4.764999,0.681014,160.929159,2,2,2
2604,166,192,928,0.405709,13.625287,7.646942,0.528037,14.481841,2,2,2
2605,166,192,928,0.5001,8.049881,2.68621,0.456488,11.769033,2,2,2
2606,166,192,928,0.139284,6.929983,1.664376,0.310476,10.721458,1,1,1
2583,166,192,922,0.100499,46.160624,0.836602,0.261061,44.864674,1,1,1
2612,166,192,930,0.123693,0.873569,0.726453,0.394368,3.684139,1,1,1
2619,166,192,932,0.075498,3.811149,0.926129,0.203946,9.082087,1,1,12
2620,166,192,932,0.061644,4.311604,0.555543,0.114562,9.698588,1,1,12
2621,166,192,932,0.253574,4.340057,0.765012,0.268794,8.538263,1,1,12
2622,166,192,933,0.107238,2.941682,0.972123,0.234403,8.294461,1,1,1
2624,166,192,934,0.140357,2.139543,0.996036,0.420792,7.101152,1,1,1
2626,166,192,935,0.086603,0.809012,0.35222,0.285846,3.696607,1,1,1
2627,166,192,935,0.05099,1.000466,0.296403,0.119943,4.942387,1,1,1
2628,166,192,935,0.115326,1.02674,0.499142,0.197617,5.051615,1,1,1
2931,166,194,1035,0.216564,764.937598,1.145939,0.399801,180.57538,2,2,2
2932,166,194,1045,0.06,894.89083,0.919276,0.371291,158.456917,1,7,13
2933,166,194,1056,0.080623,318.533429,1.334966,0.657005,128.009491,1,7,13
3029,166,195,635,0.054772,254.297897,1.365714,0.628434,52.15689,2,3,3
3040,166,195,639,0.124499,98.035232,8.881792,0.886158,40.091242,2,2,2
3041,166,195,640,0.880965,60.884747,8.447391,0.834672,30.361832,2,2,2
3042,166,195,640,0.088318,55.20336,9.418614,0.753024,25.015453,2,2,2
3043,166,195,641,0.27037,44.831942,8.600471,0.742773,23.157725,2,2,2
3048,166,195,642,0.35623,15.9496,4.370722,0.576786,15.155438,1,3,4
3053,166,195,643,0.160935,18.329607,1.21626,0.12919,18.828944,2,2,2
3055,166,195,644,0.232164,22.272819,2.276408,0.267948,16.991415,2,2,2
3058,166,195,645,0.498297,29.540505,5.835929,0.689522,16.927474,2,2,2
3059,166,195,646,0.123693,25.682957,11.43432,0.755671,15.131338,2,2,2
3060,166,195,646,0.134907,37.348227,6.641058,0.71889,18.475863,1,1,1
3061,166,195,646,0.051962,35.068193,4.361712,0.444339,19.632369,1,1,1
3066,166,195,648,0.328329,18.908884,3.394907,0.326286,20.80941,2,2,2
3032,166,195,636,0.487442,21.144423,2.019541,0.216904,18.621514,1,3,4
3067,166,195,648,0.074833,26.922211,6.096996,0.613526,19.875281,2,2,2
3068,166,195,649,0.01,26.621844,2.468023,0.361437,20.485084,2,2,2
3070,166,195,649,0.380657,24.12648,2.379846,0.283285,16.801797,2,4,8
3071,166,195,650,0.13,19.667657,2.584849,0.1548,16.698028,1,7,13
3072,166,195,650,0.04,18.867958,2.559539,0.311147,16.452301,1,7,13
3033,166,195,636,0.284429,20.416982,1.278498,0.130505,19.593157,2,2,2
3077,166,195,651,0.065574,5.071799,1.982777,0.365883,10.838302,1,7,13
3078,166,195,651,0.108628,1.316488,0.716249,0.101714,7.04179,1,7,13
3079,166,195,652,0.100499,1.316488,1.486121,0.625333,4.753051,1,7,13
3082,166,195,653,0.072801,0.379951,0.992339,0.389532,2.547517,1,7,13
3083,166,195,653,0.20025,0.198253,0.16689,0.119847,2.785047,1,7,13
3084,166,195,653,0.083066,0.237275,0.16227,0.1023,3.172421,1,7,13
3085,166,195,653,0.08775,0.216064,0.256222,0.074523,3.438167,1,7,13
3034,166,195,637,0.128841,38.189164,8.975054,0.407753,22.011001,2,2,2
3089,166,195,654,0.03,0.320309,0.35874,0.092639,3.872447,1,7,13
3090,166,195,655,0.070711,0.38712,1.272856,0.356185,3.573576,1,7,13
3091,166,195,655,0.094868,0.60651,0.441757,0.182972,4.828674,1,7,13
3092,166,195,655,0.129615,0.60651,0.234008,0.088253,5.303143,1,7,13
3096,166,195,656,0.067082,0.772466,0.569907,0.235673,4.836414,1,7,13
3035,166,195,637,0.858254,61.929678,12.58826,0.846366,29.746601,2,2,2
3097,166,195,657,0.024495,0.49214,0.903989,0.266196,3.395948,1,7,13
3098,166,195,657,0.057446,0.233654,0.07954,0.063608,2.500926,1,7,13
3099,166,195,657,0.031623,0.365946,0.260182,0.213703,2.434993,1,7,13
3103,166,195,659,9.224213,6397.248785,15.72726,0.149203,421.633467,3,6,10
3104,166,195,660,11.793002,6397.248785,23.43975,0.163889,429.066542,3,6,10
3106,166,195,661,0.017321,2460.480595,27.50956,0.226196,364.854662,1,1,1
3107,166,195,661,0.74364,1948.366143,37.3625,0.539795,207.64827,1,1,1
3109,166,195,662,0.111803,48.76926,4.672781,0.377426,37.141942,1,1,1
3110,166,195,663,0.605062,53.727884,4.820485,0.591943,32.573954,2,8,14
3111,166,195,664,0.131529,43.977004,5.665124,0.549373,30.935964,1,1,1
3113,166,195,665,0.321559,350.993696,2.613884,0.82829,82.04975,1,1,1
3114,166,195,665,0.294788,350.993696,1.853868,0.818464,81.542079,1,1,1
3247,166,196,653,0.083066,1585.012162,1.080022,0.303288,220.784929,2,2,2
3390,166,197,726,0.197231,429.416074,1.236358,0.664996,63.212633,2,2,2
3400,166,197,731,0.284429,7.463441,0.432323,0.073927,17.543923,1,1,1
3401,166,197,732,0.064031,7.69935,0.669549,0.154555,17.328414,1,1,1
3402,166,197,732,0.152971,6.077916,0.478867,0.120716,15.867513,1,1,1
3403,166,197,733,0.110454,5.967796,0.571242,0.15573,14.672643,1,1,1
3404,166,197,734,0.024495,4.868848,0.577886,0.201496,11.471902,1,1,1
3405,166,197,735,0.232809,4.645835,1.055372,0.471835,8.946952,1,1,1
3406,166,197,735,0.107703,6.627675,0.564134,0.146883,15.362823,1,4,5
3391,166,197,727,0.17,307.933745,1.676077,0.66725,57.77413,1,3,6
3409,166,197,737,0.458476,6.45987,0.815608,0.127912,19.128893,1,1,1
3410,166,197,737,0.034641,4.689589,0.239182,0.03486,20.583421,1,1,1
3412,166,197,738,0.106771,5.407141,1.057701,0.22722,13.96492,1,1,1
3413,166,197,739,0.092736,3.023808,0.216853,0.060385,10.773503,1,1,1
3415,166,197,740,0.117898,7.552057,2.41526,0.503124,14.401577,1,1,1
3417,166,197,741,0.156844,5.696636,0.086367,0.019858,17.396552,1,5,7
3418,166,197,741,0.075498,9.551746,1.354205,0.239086,16.99224,1,5,7
3420,166,197,743,0.164924,7.714395,1.265644,0.322878,11.759658,1,5,7
