obsID,birdID,day,min,y,x,speed,prevDay,prevMin,prevY,prevX,prevSpeed,c3,c8,c16
572,166,184,552,610234.931990482,210470.864532319,0.21977261,184,552,610233.371551418,210470.683446692,0.171172428,1,1,1
573,166,184,553,610234.050525643,210470.682197515,0.081240384,184,552,610234.931990482,210470.864532319,0.21977261,1,1,1
537,166,184,543,610251.356243699,210477.13496627,0.479791621,184,543,610251.944894718,210479.89724798,0.198242276,2,2,2
911,166,185,994,610253.392006298,210513.415362471,0.262488095,185,994,610261.632097511,210509.859800168,0.271845544,2,2,2
912,166,185,994,610259.364356866,210512.987318072,0.546717477,185,994,610253.392006298,210513.415362471,0.262488095,2,2,2
914,166,185,995,610260.14004737,210517.473964808,0.345832329,185,994,610259.308523802,210515.843413848,0.507050293,1,3,6
919,166,185,996,610271.185513488,210523.521223568,0.178325545,185,996,610265.58500958,210522.424266053,0.180554701,2,2,2
902,166,185,991,610283.873936041,210516.746382007,0.082462113,185,988,610282.655322551,210518.201551799,0.07,2,2,2
921,166,185,997,610264.285840973,210526.523325306,0.275317998,185,996,610264.65104438,210524.427298925,0.315277655,2,2,2
922,166,185,998,610260.154579682,210525.422560855,0.064031242,185,997,610264.285840973,210526.523325306,0.275317998,2,2,2
923,166,185,998,610253.918606739,210525.196269651,0.303809151,185,998,610260.154579682,210525.422560855,0.064031242,2,2,2
924,166,185,998,610260.061056416,210525.994737933,0.014142136,185,998,610253.918606739,210525.196269651,0.303809151,2,2,2
925,166,185,999,610243.10896668,210525.069660714,0.39,185,998,610260.061056416,210525.994737933,0.014142136,2,2,2
931,166,185,1000,610240.94186434,210519.623013894,0.309030743,185,1000,610241.616341102,210521.149147592,0.162480768,2,2,2
935,166,185,1002,610240.78313317,210510.759660322,0.333916157,185,1001,610237.483431673,210515.12106401,0.472228758,2,2,2
936,166,185,1002,610239.425813633,210509.859041104,0.331209903,185,1002,610240.78313317,210510.759660322,0.333916157,2,2,2
938,166,185,1002,610234.360632012,210506.93630807,0.330756708,185,1002,610230.666874933,210508.041756184,0.410974452,2,2,2
945,166,185,1004,610243.206492907,210498.99754829,0.206639783,185,1004,610236.715752443,210500.792926812,0.454862617,2,2,2
946,166,185,1004,610240.042883808,210497.832380264,0.159373775,185,1004,610243.206492907,210498.99754829,0.206639783,2,2,2
947,166,185,1005,610240.754678897,210499.696753797,0.080622577,185,1004,610240.042883808,210497.832380264,0.159373775,2,2,2
948,166,185,1005,610244.265068137,210496.222754271,0.568066897,185,1005,610240.754678897,210499.696753797,0.080622577,2,2,2
907,166,185,993,610273.154453379,210512.886716686,0.170293864,185,992,610272.724055185,210511.291348203,0.211187121,2,2,2
1180,166,186,995,610213.025433347,210497.608589448,1.23971771,186,994,610225.147085257,210499.526258634,0.120415946,1,5,7
1189,166,186,998,610219.775352482,210498.957851654,0.422374242,186,997,610225.571780186,210499.67405531,0.112249722,1,1,1
1195,166,186,999,610217.522801723,210498.605523922,0.243721152,186,999,610209.574311566,210496.606130488,0.388329757,1,1,1
1196,166,186,999,610217.514682806,210498.864602911,0.30757113,186,999,610217.522801723,210498.605523922,0.243721152,1,1,1
1198,166,186,1000,610226.321468099,210500.010651455,0.127279221,186,1000,610227.679184944,210499.988225653,0.16673332,1,1,1
1181,166,186,995,610219.870114077,210498.491906029,0.046904158,186,995,610213.025433347,210497.608589448,1.23971771,1,1,1
1199,166,186,1000,610215.672609772,210498.394611992,0.100498756,186,1000,610226.321468099,210500.010651455,0.127279221,1,1,1
1182,166,186,996,610232.814252705,210501.263286478,0.214009346,186,995,610219.870114077,210498.491906029,0.046904158,1,1,1
1211,166,186,1003,610219.906744572,210498.770386517,0.072801099,186,1003,610219.113156472,210498.48742511,0.114017543,1,5,7
1183,166,186,996,610227.81869586,210499.541682359,0.394208067,186,996,610232.814252705,210501.263286478,0.214009346,1,1,1
1224,166,186,1007,610223.992927574,210500.781473338,0.087749644,186,1007,610224.972860361,210500.816564566,0.133790882,1,5,7
1225,166,186,1007,610225.842347719,210500.925986674,0.104880885,186,1007,610223.992927574,210500.781473338,0.087749644,1,5,7
1226,166,186,1007,610222.086561162,210499.568481415,0.538144962,186,1007,610225.842347719,210500.925986674,0.104880885,2,2,2
1227,166,186,1008,610223.540133859,210498.216816839,0.14,186,1007,610222.086561162,210499.568481415,0.538144962,1,1,1
1184,166,186,996,610221.34082374,210498.614260791,0.478434949,186,996,610227.81869586,210499.541682359,0.394208067,1,1,1
1185,166,186,997,610214.786189907,210498.743589781,0.053851648,186,996,610221.34082374,210498.614260791,0.478434949,1,1,1
1186,166,186,997,610211.725370843,210497.803000865,0.156524758,186,997,610214.786189907,210498.743589781,0.053851648,1,1,1
