1187,1,1,1
1188,1,1,1
1415,2,2,2
1417,2,3,3
1418,1,3,4
1419,1,4,5
1421,2,2,2
1424,2,2,2
1428,2,2,2
1430,2,2,2
1431,1,3,6
1435,1,1,1
1443,1,1,1
1444,1,1,1
1445,1,4,5
1446,1,4,5
1447,1,4,5
1448,1,4,5
1449,1,4,5
1450,1,4,5
1409,1,5,7
1618,2,3,3
1628,2,2,2
1630,2,2,2
1631,2,2,2
1632,2,2,2
1635,2,2,2
1636,2,2,2
1619,2,2,2
1637,2,2,2
1638,2,2,2
1641,2,2,2
1642,2,3,3
1644,2,2,2
1649,1,4,5
1651,2,4,8
1652,2,2,9
1663,2,2,9
1664,2,2,9
1665,2,2,9
1668,3,6,10
1669,3,6,10
1670,3,6,10
1624,2,2,2
1626,2,3,3
1845,1,5,7
1846,1,5,7
1851,1,5,7
1852,1,5,7
1853,1,5,7
1854,1,5,7
1855,1,5,7
1856,1,5,7
1857,1,5,7
1860,1,5,7
1863,2,2,2
1864,2,2,2
529,2,2,2
538,2,2,2
539,2,2,2
543,2,2,2
544,1,3,6
545,2,2,2
546,2,2,2
530,2,2,2
551,2,2,2
552,2,2,2
531,2,2,2
558,2,2,2
560,2,2,2
532,2,2,2
571,1,1,1
572,1,1,1
573,1,1,1
537,2,2,2
911,2,2,2
912,2,2,2
914,1,3,6
919,2,2,2
902,2,2,2
921,2,2,2
922,2,2,2
923,2,2,2
924,2,2,2
925,2,2,2
931,2,2,2
935,2,2,2
936,2,2,2
938,2,2,2
945,2,2,2
946,2,2,2
947,2,2,2
948,2,2,2
907,2,2,2
1180,1,5,7
1189,1,1,1
1195,1,1,1
1196,1,1,1
1198,1,1,1
1181,1,1,1
1199,1,1,1
1182,1,1,1
1211,1,5,7
1183,1,1,1
1224,1,5,7
1225,1,5,7
1226,2,2,2
1227,1,1,1
1184,1,1,1
1185,1,1,1
1186,1,1,1
1865,2,2,2
1869,2,2,2
1870,2,2,2
1871,2,2,2
1872,2,2,2
1877,1,3,4
1878,1,3,6
1881,2,2,2
1882,2,2,2
1840,2,4,11
1842,1,5,7
1843,1,5,7
1844,1,5,7
2133,2,2,2
2134,1,4,5
2135,1,3,4
2140,2,2,2
2144,2,2,2
2145,2,2,2
2146,1,3,6
2148,2,2,2
2150,2,4,8
2125,2,2,2
2156,2,2,2
2157,2,2,2
2158,2,2,2
2159,2,2,2
2160,2,2,2
2161,1,3,6
2162,2,2,2
2166,2,2,2
2170,2,2,9
2590,2,2,2
2591,2,2,2
2592,2,2,2
2593,2,2,2
2595,2,2,2
2596,2,2,2
2597,2,2,2
2598,2,2,2
2582,2,2,2
2604,2,2,2
2605,2,2,2
2606,1,1,1
2583,1,1,1
2612,1,1,1
2619,1,1,12
2620,1,1,12
2621,1,1,12
2622,1,1,1
2624,1,1,1
2626,1,1,1
2627,1,1,1
2628,1,1,1
2931,2,2,2
2932,1,7,13
2933,1,7,13
3029,2,3,3
3040,2,2,2
3041,2,2,2
3042,2,2,2
3043,2,2,2
3048,1,3,4
3053,2,2,2
3055,2,2,2
3058,2,2,2
3059,2,2,2
3060,1,1,1
3061,1,1,1
3066,2,2,2
3032,1,3,4
3067,2,2,2
3068,2,2,2
3070,2,4,8
3071,1,7,13
3072,1,7,13
3033,2,2,2
3077,1,7,13
3078,1,7,13
3079,1,7,13
3082,1,7,13
3083,1,7,13
3084,1,7,13
3085,1,7,13
3034,2,2,2
3089,1,7,13
3090,1,7,13
3091,1,7,13
3092,1,7,13
3096,1,7,13
3035,2,2,2
3097,1,7,13
3098,1,7,13
3099,1,7,13
3103,3,6,10
3104,3,6,10
3106,1,1,1
3107,1,1,1
3109,1,1,1
3110,2,8,14
3111,1,1,1
3113,1,1,1
3114,1,1,1
3247,2,2,2
3390,2,2,2
3400,1,1,1
3401,1,1,1
3402,1,1,1
3403,1,1,1
3404,1,1,1
3405,1,1,1
3406,1,4,5
3391,1,3,6
3409,1,1,1
3410,1,1,1
3412,1,1,1
3413,1,1,1
3415,1,1,1
3417,1,5,7
3418,1,5,7
3420,1,5,7
3422,1,5,7
3423,1,1,1
3424,1,5,7
3425,1,4,5
3426,3,6,10
3393,1,1,1
3394,1,1,1
3395,1,1,1
3396,1,1,1
3398,1,1,1
6940,2,2,2
6941,2,2,2
6946,2,2,2
6947,2,2,2
6948,2,2,2
6932,2,2,2
6951,2,2,2
6953,2,2,2
6954,2,2,2
6933,2,2,2
6960,1,3,6
6961,1,3,6
6963,2,2,2
6966,2,2,2
6967,2,2,2
6971,2,2,2
6973,1,3,6
6974,2,2,2
6980,1,3,6
6981,2,2,2
6982,2,2,2
6984,1,3,6
6986,2,2,2
6987,2,2,2
6939,2,2,2
7268,1,7,13
7278,1,7,13
7279,1,7,13
7281,1,7,13
7282,1,7,13
7269,1,7,13
7288,1,7,13
7290,1,7,13
7291,1,7,13
7292,1,7,13
7293,1,7,13
7294,1,7,13
7270,1,7,13
7301,1,7,13
7302,1,7,13
7304,1,7,13
7305,1,7,13
7306,1,7,13
7271,1,7,13
7307,1,7,13
7327,1,7,13
7328,1,1,1
7331,1,7,13
7333,1,7,13
7334,1,7,13
7335,1,7,13
7336,1,7,13
7339,1,7,13
7340,1,7,13
7344,1,7,13
7345,1,7,13
7447,1,3,6
7456,1,3,6
7457,1,3,6
7458,1,3,6
7459,2,2,2
7460,1,3,6
7463,2,2,2
7448,2,2,2
7467,1,3,4
7468,1,3,6
7469,2,2,2
7470,2,2,2
7471,2,2,2
7477,2,2,2
7480,2,2,2
7481,2,2,2
7483,2,2,2
7485,2,2,2
7450,2,2,2
7491,2,2,2
7493,2,2,2
7494,1,3,6
7452,1,3,6
7455,2,2,2
7666,2,2,2
7677,3,6,10
7678,3,6,10
7679,3,6,10
7670,1,4,5
7671,1,4,5
7750,1,3,6
7751,1,3,6
7753,1,3,6
7754,2,2,2
7755,2,2,2
7759,2,2,2
7760,1,3,6
7764,2,2,2
7904,3,6,10
7921,2,2,2
7922,2,2,2
7923,2,2,2
7924,2,2,2
7925,2,2,2
7927,2,2,2
7932,2,2,2
7933,1,5,7
7934,1,5,7
7935,2,2,2
7938,2,2,2
7939,2,2,2
7940,2,2,2
7941,1,5,7
7948,2,2,2
7949,2,2,2
7950,2,2,2
7951,2,2,2
8127,2,8,14
8219,2,2,2
8220,2,2,2
8221,2,2,2
8222,2,2,2
8128,1,5,7
8129,2,8,14
8131,2,8,14
8132,1,5,7
8119,1,5,7
8138,1,5,7
8139,1,5,7
8140,1,5,7
8141,1,5,7
8143,1,5,7
8144,1,5,7
8145,1,5,7
8146,1,5,7
8151,1,5,7
8152,1,5,7
8153,1,5,7
8154,1,5,7
8155,1,5,7
8156,1,5,7
8158,2,8,14
8159,2,8,14
8160,2,8,14
8161,2,8,14
8165,2,4,15
8166,2,4,15
8167,2,4,15
8174,2,2,2
8179,2,2,2
8180,2,2,2
8184,2,2,2
8185,2,2,2
8187,2,2,2
8192,1,5,7
8200,1,4,16
8206,3,6,10
8207,1,5,7
8209,2,2,2
8210,2,2,2
8211,2,2,2
8214,2,2,2
8307,1,7,13
8318,1,7,13
8319,1,7,13
8320,1,7,13
8322,1,5,7
8323,1,5,7
8324,1,5,7
8325,1,5,7
8308,1,7,13
8326,1,5,7
8327,1,5,7
8331,1,7,13
8332,1,7,13
8333,1,7,13
8334,1,7,13
8335,1,7,13
8309,1,7,13
8337,1,5,7
8338,1,5,7
8339,1,7,13
8340,1,7,13
8342,1,7,13
8343,1,7,13
8344,1,7,13
8345,1,7,13
8346,1,7,13
8347,1,7,13
8348,1,7,13
8349,1,7,13
8350,1,7,13
8351,1,7,13
8311,1,7,13
8312,1,7,13
8313,1,7,13
8554,2,2,2
8556,2,2,2
8558,2,2,2
12894,2,3,3
8545,2,2,2
8566,2,4,8
8567,2,4,8
8568,2,4,8
8569,2,4,8
8571,2,2,2
8546,2,2,2
8574,2,4,11
8577,1,5,7
8578,2,2,2
8580,2,2,2
8581,2,2,2
8582,2,3,3
8584,1,3,4
8585,2,2,2
8548,2,2,2
8549,2,2,2
8551,2,2,2
8709,2,2,2
8719,2,4,8
8722,2,4,8
8723,2,4,8
8724,2,4,8
8725,2,2,2
8726,2,2,2
8727,2,2,2
8710,2,2,2
8728,1,7,13
8734,1,3,4
8735,2,2,2
8736,2,2,2
8737,2,2,2
8711,2,2,2
8738,2,2,2
8740,2,8,14
8742,2,2,2
8747,2,2,2
8712,2,2,2
8751,2,2,2
